# x [m]            px [betax gamma] y [m]            py [betay gamma] t [s]            pz [betaz gamma] Bin Number       
 -3.224565820e-04 -5.389618433e-04 -8.059360663e-05  6.124683471e-04 -6.115411343e-13  5.002559531e-04                1
  1.611184812e-05  2.718039585e-05 -2.049069593e-04  8.192628840e-04 -6.435098691e-13  4.938855297e-04                1
 -7.040227543e-05 -8.943847240e-04  1.188881497e-04 -8.592738360e-05 -6.878617344e-13  3.294629170e-04                1
 -6.700231066e-05 -6.680656759e-04  1.391964743e-04 -5.747979223e-04 -6.233228972e-13  3.730267612e-04                1
  1.420158447e-04  4.535885130e-04  1.264392711e-04  7.467417300e-04 -7.126072983e-13  3.904966235e-04                1
 -1.768931055e-04  3.249863145e-04 -1.462188030e-04  3.730315986e-04 -6.930236638e-13  8.191975862e-04                1
 -2.615866651e-04 -4.547817437e-06 -9.997790768e-05  9.535207553e-04 -6.973615454e-13  8.143003047e-05                1
 -2.039369549e-04  2.835399172e-04 -7.187016277e-05  6.838281953e-04 -7.191282118e-13  6.064960660e-04                1
 -2.053120333e-04 -3.618188100e-04 -2.172549456e-04  8.859355167e-04 -8.205015273e-13  7.666316425e-06                1
  1.124267015e-04  8.768915861e-04  1.598419734e-04  3.447207427e-04 -7.699265602e-13  1.675772036e-04                1
  5.598986825e-05  8.335217626e-05  3.288204235e-04  3.793250728e-04 -9.005366651e-13  8.746532268e-04                2
  1.180988577e-04 -4.059645000e-05 -2.774587634e-04  8.037921310e-04 -9.002016252e-13  5.178064328e-04                2
  7.415020045e-05  5.980175976e-04 -3.101329896e-04 -5.378718619e-04 -8.464763527e-13  5.185770690e-04                2
 -4.587770357e-05 -1.207339833e-04 -2.302701662e-04  9.333460156e-04 -8.887699040e-13  1.736141809e-04                2
 -1.031498361e-04  1.145847131e-04 -9.456987594e-05  6.899649075e-04 -9.634973048e-13  6.532014493e-04                2
 -2.181689105e-04  8.163128298e-04 -2.146607121e-04  2.071341464e-04 -9.691198234e-13  4.545131160e-04                2
  5.417318098e-05  3.229384222e-04 -3.199523049e-04 -2.634496798e-04 -9.208870993e-13  8.614861607e-04                2
